Month;FRA District;FRA Safety Management Team;Holding Company;Parent Railroad;Railroad;Railroad Class;Year;Calendar Year;Fiscal Year;Railroad Concat;Railroadcode;Railroadname;Reporting Parent Railroad Code;Reporting Parent Railroad Name;reporting_railroad_class;Employee Hours Worked;Number of Passengers Transported;Passenger Miles;Reports;Total Train Miles;Yard Switching Miles
Nov;2;SMT-2 - Short Line East;Not Assigned;Lowville & Beaver River Railroad Company [LBR];Lowville & Beaver River Railroad Company [LBR];Class III;2025;2025;2026;Lowville & Beaver River Railroad Company [LBR];LBR;Lowville & Beaver River Railroad Company;LBR;Lowville & Beaver River Railroad Company;Class III;;;0;1;;
Nov;2;SMT-2 - Short Line East;Not Assigned;Columbia & Reading Railway Co [CORY];Columbia & Reading Railway Co [CORY];Class III;2025;2025;2026;Columbia & Reading Railway Co [CORY];CORY;Columbia & Reading Railway Co;CORY;Columbia & Reading Railway Co;Class III;120;;0;1;12;
Nov;2;SMT-2 - Short Line East;Not Assigned;Elizabethtown Industrial Railroad, LLC [EZR];Elizabethtown Industrial Railroad, LLC [EZR];Class III;2025;2025;2026;Elizabethtown Industrial Railroad, LLC [EZR];EZR;Elizabethtown Industrial Railroad, LLC;EZR;Elizabethtown Industrial Railroad, LLC;Class III;190;;0;1;6;
Nov;2;SMT-2 - Short Line East;Not Assigned;Strasburg Railroad Company [SRC];Strasburg Railroad Company [SRC];Class III;2025;2025;2026;Strasburg Railroad Company [SRC];SRC;Strasburg Railroad Company;SRC;Strasburg Railroad Company;Class III;11 141;20 963;188867;1;1 088;33
Nov;2;SMT-2 - Short Line East;Not Assigned;New Castle Industrial Railroad [NCIR];New Castle Industrial Railroad [NCIR];Class III;2025;2025;2026;New Castle Industrial Railroad [NCIR];NCIR;New Castle Industrial Railroad;NCIR;New Castle Industrial Railroad;Class III;832;;0;1;333;333
Nov;2;SMT-2 - Short Line East;Not Assigned;Pennsylvania Northeastern Railroad, LLC [PN];Pennsylvania Northeastern Railroad, LLC [PN];Class III;2025;2025;2026;Pennsylvania Northeastern Railroad, LLC [PN];PN;Pennsylvania Northeastern Railroad, LLC;PN;Pennsylvania Northeastern Railroad, LLC;Class III;952;;0;1;792;118
Nov;2;SMT-2 - Short Line East;Not Assigned;Upper Merion & Plymouth Railroad Company [UMP];Upper Merion & Plymouth Railroad Company [UMP];Class III;2025;2025;2026;Upper Merion & Plymouth Railroad Company [UMP];UMP;Upper Merion & Plymouth Railroad Company;UMP;Upper Merion & Plymouth Railroad Company;Class III;48;;0;1;25;25
Nov;2;SMT-2 - Short Line East;Not Assigned;N. D. C. Railroad Company [NDCR];N. D. C. Railroad Company [NDCR];Class III;2025;2025;2026;N. D. C. Railroad Company [NDCR];NDCR;N. D. C. Railroad Company;NDCR;N. D. C. Railroad Company;Class III;43;;0;1;30;30
Nov;2;SMT-2 - Short Line East;Not Assigned;Phoenix Rail [LVRX];Phoenix Rail [LVRX];Class III;2025;2025;2026;Phoenix Rail [LVRX];LVRX;Phoenix Rail;LVRX;Phoenix Rail;Class III;4 379;;0;1;1 114;1 114
Nov;2;SMT-2 - Short Line East;Not Assigned;Shenandoah Valley Railroad [SV];Shenandoah Valley Railroad [SV];Class III;2025;2025;2026;Shenandoah Valley Railroad [SV];SV;Shenandoah Valley Railroad;SV;Shenandoah Valley Railroad;Class III;488;;0;1;567;
Nov;2;SMT-2 - Short Line East;Not Assigned;Buckingham Branch Railroad Company [BB];Buckingham Branch Railroad Company [BB];Class III;2025;2025;2026;Buckingham Branch Railroad Company [BB];BB;Buckingham Branch Railroad Company;BB;Buckingham Branch Railroad Company;Class III;16 272;5 538;343356;1;6 000;
Nov;2;SMT-2 - Short Line East;Not Assigned;EMPIRE RIVER RAIL, LLC [ERRA];EMPIRE RIVER RAIL, LLC [ERRA];Class III;2025;2025;2026;EMPIRE RIVER RAIL, LLC [ERRA];ERRA;EMPIRE RIVER RAIL, LLC;ERRA;EMPIRE RIVER RAIL, LLC;Class III;5;;0;1;5;5
Nov;2;SMT-2 - Short Line East;Not Assigned;WEST VIRGINIA CENTRAL RAILROAD [WVC];WEST VIRGINIA CENTRAL RAILROAD [WVC];Class III;2025;2025;2026;WEST VIRGINIA CENTRAL RAILROAD [WVC];WVC;WEST VIRGINIA CENTRAL RAILROAD;WVC;WEST VIRGINIA CENTRAL RAILROAD;Class III;2 518;647;29762;1;529;
Nov;2;SMT-2 - Short Line East;P&L;Appalachian & Ohio Railroad [AO];Appalachian & Ohio Railroad [AO];Class III;2025;2025;2026;Appalachian & Ohio Railroad [AO];AO;Appalachian & Ohio Railroad;AO;Appalachian & Ohio Railroad;Class III;5 284;;0;1;3 365;
Nov;2;SMT-2 - Short Line East;Patriot Rail;ELKHART & WESTERN RAILROAD CO. [EWR];ELKHART & WESTERN RAILROAD CO. [EWR];Class III;2025;2025;2026;ELKHART & WESTERN RAILROAD CO. [EWR];EWR;ELKHART & WESTERN RAILROAD CO.;EWR;ELKHART & WESTERN RAILROAD CO.;Class III;388;;0;1;166;36
Nov;2;SMT-2 - Short Line East;Patriot Rail;Kendallville Terminal Railway Co. [KTR];Kendallville Terminal Railway Co. [KTR];Class III;2025;2025;2026;Kendallville Terminal Railway Co. [KTR];KTR;Kendallville Terminal Railway Co.;KTR;Kendallville Terminal Railway Co.;Class III;289;;0;1;35;35
Nov;2;SMT-2 - Short Line East;Patriot Rail;MICHIGAN SOUTHERN RAILROAD COMPANY, INC. [MSO];MICHIGAN SOUTHERN RAILROAD COMPANY, INC. [MSO];Class III;2025;2025;2026;MICHIGAN SOUTHERN RAILROAD COMPANY, INC. [MSO];MSO;MICHIGAN SOUTHERN RAILROAD COMPANY, INC.;MSO;MICHIGAN SOUTHERN RAILROAD COMPANY, INC.;Class III;343;;0;1;248;68
Nov;2;SMT-2 - Short Line East;Patriot Rail;Pioneer Railcorp [PNRC];MICHIGAN SOUTHERN RAILROAD COMPANY  (D.B.A. - NAPOLEON, DEFIANCE & WESTERN RAILWAY) [NDW];Class III;2025;2025;2026;MICHIGAN SOUTHERN RAILROAD COMPANY  (D.B.A. - NAPOLEON, DEFIANCE & WESTERN RAILWAY) [NDW];NDW;MICHIGAN SOUTHERN RAILROAD COMPANY  (D.B.A. - NAPOLEON, DEFIANCE & WESTERN RAILWAY);PNRC;Pioneer Railcorp;Class III;1 233;;0;1;741;177
Nov;2;SMT-2 - Short Line East;Patriot Rail;Gettysburg and Northern Railroad [GET];Gettysburg and Northern Railroad [GET];Class III;2025;2025;2026;Gettysburg and Northern Railroad [GET];GET;Gettysburg and Northern Railroad;GET;Gettysburg and Northern Railroad;Class III;1 512;5 193;72702;1;1 241;27
Nov;2;SMT-2 - Short Line East;Pinsly;Camp Chase Railway Co., LLC [CAMY];Camp Chase Railway Co., LLC [CAMY];Class III;2025;2025;2026;Camp Chase Railway Co., LLC [CAMY];CAMY;Camp Chase Railway Co., LLC;CAMY;Camp Chase Railway Co., LLC;Class III;347;;0;1;385;49
Nov;2;SMT-2 - Short Line East;Regional Rail LLC;CINCINNATI EASTERN RAILROAD, LLC [CCET];CINCINNATI EASTERN RAILROAD, LLC [CCET];Class III;2025;2025;2026;CINCINNATI EASTERN RAILROAD, LLC [CCET];CCET;CINCINNATI EASTERN RAILROAD, LLC;CCET;CINCINNATI EASTERN RAILROAD, LLC;Class III;2 207;;0;1;2 897;
Nov;2;SMT-2 - Short Line East;Regional Rail LLC;Ohio South Central Railroad [OSCR];Ohio South Central Railroad [OSCR];Class III;2025;2025;2026;Ohio South Central Railroad [OSCR];OSCR;Ohio South Central Railroad;OSCR;Ohio South Central Railroad;Class III;1 005;;0;1;1 171;21
Nov;2;SMT-2 - Short Line East;Regional Rail LLC;Tyburn Railroad, LLC [TYBR];Tyburn Railroad, LLC [TYBR];Class III;2025;2025;2026;Tyburn Railroad, LLC [TYBR];TYBR;Tyburn Railroad, LLC;TYBR;Tyburn Railroad, LLC;Class III;432;;0;1;19;
Nov;2;SMT-2 - Short Line East;Regional Rail LLC;East Penn Railroad LLC [ESPN];East Penn Railroad LLC [ESPN];Class III;2025;2025;2026;East Penn Railroad LLC [ESPN];ESPN;East Penn Railroad LLC;ESPN;East Penn Railroad LLC;Class III;5 458;;0;1;1 690;
Nov;2;SMT-2 - Short Line East;Transtar;Lake Terminal Railroad Company [LT];Lake Terminal Railroad Company [LT];Class III;2025;2025;2026;Lake Terminal Railroad Company [LT];LT;Lake Terminal Railroad Company;LT;Lake Terminal Railroad Company;Class III;304;;0;1;20;20
Mar;2;SMT-1 - Amtrak, Commuter East;Not Assigned;Western Maryland Scenic Railroad [WMSR];Western Maryland Scenic Railroad [WMSR];Class III;2025;2025;2025;Western Maryland Scenic Railroad [WMSR];WMSR;Western Maryland Scenic Railroad;WMSR;Western Maryland Scenic Railroad;Class III;363;1 083;34656;1;707;3
Mar;2;SMT-1 - Amtrak, Commuter East;Not Assigned;MARC Train Service [MACZ];MARC Train Service [MACZ];Class III;2025;2025;2025;MARC Train Service [MACZ];MACZ;MARC Train Service;MACZ;MARC Train Service;Class III;62 615;493 969;14932682;1;112 108;766
Mar;2;SMT-1 - Amtrak, Commuter East;Not Assigned;BALTIMORE & OHIO RAILROD MUSEUM [BOMX];BALTIMORE & OHIO RAILROD MUSEUM [BOMX];Class III;2025;2025;2025;BALTIMORE & OHIO RAILROD MUSEUM [BOMX];BOMX;BALTIMORE & OHIO RAILROD MUSEUM;BOMX;BALTIMORE & OHIO RAILROD MUSEUM;Class III;;;0;1;;
Mar;2;SMT-1 - Amtrak, Commuter East;Not Assigned;WALKERSVILLE SOUTHERN RAILROAD, INC. [WS];WALKERSVILLE SOUTHERN RAILROAD, INC. [WS];Class III;2025;2025;2025;WALKERSVILLE SOUTHERN RAILROAD, INC. [WS];WS;WALKERSVILLE SOUTHERN RAILROAD, INC.;WS;WALKERSVILLE SOUTHERN RAILROAD, INC.;Class III;16;;0;1;4;4
Mar;2;SMT-1 - Amtrak, Commuter East;Not Assigned;Hocking Valley Scenic Railway [HVSR];Hocking Valley Scenic Railway [HVSR];Class III;2025;2025;2025;Hocking Valley Scenic Railway [HVSR];HVSR;Hocking Valley Scenic Railway;HVSR;Hocking Valley Scenic Railway;Class III;1 697;704;14080;1;80;
Mar;2;SMT-1 - Amtrak, Commuter East;Not Assigned;Cuyahoga Valley Scenic Railway [CVSX];Cuyahoga Valley Scenic Railway [CVSX];Class III;2025;2025;2025;Cuyahoga Valley Scenic Railway [CVSX];CVSX;Cuyahoga Valley Scenic Railway;CVSX;Cuyahoga Valley Scenic Railway;Class III;6 817;4 099;15990;1;1 360;96
Mar;2;SMT-1 - Amtrak, Commuter East;Not Assigned;Lake Shore Railway [LSRX];Lake Shore Railway [LSRX];Class III;2025;2025;2025;Lake Shore Railway [LSRX];LSRX;Lake Shore Railway;LSRX;Lake Shore Railway;Class III;;;0;1;;
Mar;2;SMT-1 - Amtrak, Commuter East;Not Assigned;CINCINNATI RAILWAY COMPANY [CNRX];CINCINNATI RAILWAY COMPANY [CNRX];Class III;2025;2025;2025;CINCINNATI RAILWAY COMPANY [CNRX];CNRX;CINCINNATI RAILWAY COMPANY;CNRX;CINCINNATI RAILWAY COMPANY;Class III;110;860;18920;1;152;2
Mar;2;SMT-1 - Amtrak, Commuter East;Not Assigned;Wannamakers, Kempton And Southern [WAKS];Wannamakers, Kempton And Southern [WAKS];Class III;2025;2025;2025;Wannamakers, Kempton And Southern [WAKS];WAKS;Wannamakers, Kempton And Southern;WAKS;Wannamakers, Kempton And Southern;Class III;;;0;1;;
Mar;2;SMT-1 - Amtrak, Commuter East;Not Assigned;STEAMTOWN NATIONAL HISTORIC SITE [SNCX];STEAMTOWN NATIONAL HISTORIC SITE [SNCX];Class III;2025;2025;2025;STEAMTOWN NATIONAL HISTORIC SITE [SNCX];SNCX;STEAMTOWN NATIONAL HISTORIC SITE;SNCX;STEAMTOWN NATIONAL HISTORIC SITE;Class III;3 360;;0;1;;
Mar;2;SMT-1 - Amtrak, Commuter East;Not Assigned;Harrisburg, Lincoln & Lancaster Railroad, LLC [HLLR];Harrisburg, Lincoln & Lancaster Railroad, LLC [HLLR];Class III;2025;2025;2025;Harrisburg, Lincoln & Lancaster Railroad, LLC [HLLR];HLLR;Harrisburg, Lincoln & Lancaster Railroad, LLC;HLLR;Harrisburg, Lincoln & Lancaster Railroad, LLC;Class III;;;0;1;;
Mar;2;SMT-1 - Amtrak, Commuter East;Not Assigned;Southeastern Pennsylvania Transportation Authority [SEPA];Southeastern Pennsylvania Transportation Authority [SEPA];Class III;2025;2025;2025;Southeastern Pennsylvania Transportation Authority [SEPA];SEPA;Southeastern Pennsylvania Transportation Authority;SEPA;Southeastern Pennsylvania Transportation Authority;Class III;324 790;2 048 237;27651200;1;379 521;
Mar;2;SMT-1 - Amtrak, Commuter East;Not Assigned;Maryland and Pennsylvania Railroad Preservation Society [MAPA];Maryland and Pennsylvania Railroad Preservation Society [MAPA];Class III;2025;2025;2025;Maryland and Pennsylvania Railroad Preservation Society [MAPA];MAPA;Maryland and Pennsylvania Railroad Preservation Society;MAPA;Maryland and Pennsylvania Railroad Preservation Society;Class III;;;0;1;7;
Mar;2;SMT-1 - Amtrak, Commuter East;Not Assigned;Northern Central Railway [NCRA];Northern Central Railway [NCRA];Class III;2025;2025;2025;Northern Central Railway [NCRA];NCRA;Northern Central Railway;NCRA;Northern Central Railway;Class III;1 041;792;3288;1;58;
Mar;2;SMT-1 - Amtrak, Commuter East;Not Assigned;Stewartstown Railroad Company [STRT];Stewartstown Railroad Company [STRT];Class III;2025;2025;2025;Stewartstown Railroad Company [STRT];STRT;Stewartstown Railroad Company;STRT;Stewartstown Railroad Company;Class III;51;64;196;1;10;
Mar;2;SMT-1 - Amtrak, Commuter East;Not Assigned;Virginia Railway Express [VREX];Virginia Railway Express [VREX];Class III;2025;2025;2025;Virginia Railway Express [VREX];VREX;Virginia Railway Express;VREX;Virginia Railway Express;Class III;35 347;213 027;10561782;1;34 573;185
Mar;2;SMT-1 - Amtrak, Commuter East;Not Assigned;Potomac Eagle Scenic Railroad [PESX];Potomac Eagle Scenic Railroad [PESX];Class III;2025;2025;2025;Potomac Eagle Scenic Railroad [PESX];PESX;Potomac Eagle Scenic Railroad;PESX;Potomac Eagle Scenic Railroad;Class III;415;;0;1;215;23
Mar;2;SMT-1 - Amtrak, Commuter East;Not Assigned;Cass Scenic [CASS];Cass Scenic [CASS];Class III;2025;2025;2025;Cass Scenic [CASS];CASS;Cass Scenic;CASS;Cass Scenic;Class III;4 338;;0;1;;
Apr;2;SMT-1 - Amtrak, Commuter East;Not Assigned;Western Maryland Scenic Railroad [WMSR];Western Maryland Scenic Railroad [WMSR];Class III;2025;2025;2025;Western Maryland Scenic Railroad [WMSR];WMSR;Western Maryland Scenic Railroad;WMSR;Western Maryland Scenic Railroad;Class III;485;3 690;60840;1;551;3
Apr;2;SMT-1 - Amtrak, Commuter East;Not Assigned;MARC Train Service [MACZ];MARC Train Service [MACZ];Class III;2025;2025;2025;MARC Train Service [MACZ];MACZ;MARC Train Service;MACZ;MARC Train Service;Class III;72 078;536 555;16220057;1;121 811;669
Apr;2;SMT-1 - Amtrak, Commuter East;Not Assigned;BALTIMORE & OHIO RAILROD MUSEUM [BOMX];BALTIMORE & OHIO RAILROD MUSEUM [BOMX];Class III;2025;2025;2025;BALTIMORE & OHIO RAILROD MUSEUM [BOMX];BOMX;BALTIMORE & OHIO RAILROD MUSEUM;BOMX;BALTIMORE & OHIO RAILROD MUSEUM;Class III;420;7 500;22500;1;124;10
Apr;2;SMT-1 - Amtrak, Commuter East;Not Assigned;WALKERSVILLE SOUTHERN RAILROAD, INC. [WS];WALKERSVILLE SOUTHERN RAILROAD, INC. [WS];Class III;2025;2025;2025;WALKERSVILLE SOUTHERN RAILROAD, INC. [WS];WS;WALKERSVILLE SOUTHERN RAILROAD, INC.;WS;WALKERSVILLE SOUTHERN RAILROAD, INC.;Class III;96;1 100;8800;1;76;4
Apr;2;SMT-1 - Amtrak, Commuter East;Not Assigned;Hocking Valley Scenic Railway [HVSR];Hocking Valley Scenic Railway [HVSR];Class III;2025;2025;2025;Hocking Valley Scenic Railway [HVSR];HVSR;Hocking Valley Scenic Railway;HVSR;Hocking Valley Scenic Railway;Class III;1 725;896;17744;1;72;
Apr;2;SMT-1 - Amtrak, Commuter East;Not Assigned;Cuyahoga Valley Scenic Railway [CVSX];Cuyahoga Valley Scenic Railway [CVSX];Class III;2025;2025;2025;Cuyahoga Valley Scenic Railway [CVSX];CVSX;Cuyahoga Valley Scenic Railway;CVSX;Cuyahoga Valley Scenic Railway;Class III;6 946;5 458;192757;1;778;30
Apr;2;SMT-1 - Amtrak, Commuter East;Not Assigned;Lake Shore Railway [LSRX];Lake Shore Railway [LSRX];Class III;2025;2025;2025;Lake Shore Railway [LSRX];LSRX;Lake Shore Railway;LSRX;Lake Shore Railway;Class III;;142;710;1;10;
Apr;2;SMT-1 - Amtrak, Commuter East;Not Assigned;CINCINNATI RAILWAY COMPANY [CNRX];CINCINNATI RAILWAY COMPANY [CNRX];Class III;2025;2025;2025;CINCINNATI RAILWAY COMPANY [CNRX];CNRX;CINCINNATI RAILWAY COMPANY;CNRX;CINCINNATI RAILWAY COMPANY;Class III;220;3 107;36907;1;230;2
Apr;2;SMT-1 - Amtrak, Commuter East;Not Assigned;Wannamakers, Kempton And Southern [WAKS];Wannamakers, Kempton And Southern [WAKS];Class III;2025;2025;2025;Wannamakers, Kempton And Southern [WAKS];WAKS;Wannamakers, Kempton And Southern;WAKS;Wannamakers, Kempton And Southern;Class III;;646;3876;1;52;4
Apr;2;SMT-1 - Amtrak, Commuter East;Not Assigned;STEAMTOWN NATIONAL HISTORIC SITE [SNCX];STEAMTOWN NATIONAL HISTORIC SITE [SNCX];Class III;2025;2025;2025;STEAMTOWN NATIONAL HISTORIC SITE [SNCX];SNCX;STEAMTOWN NATIONAL HISTORIC SITE;SNCX;STEAMTOWN NATIONAL HISTORIC SITE;Class III;3 360;;0;1;;
Apr;2;SMT-1 - Amtrak, Commuter East;Not Assigned;Harrisburg, Lincoln & Lancaster Railroad, LLC [HLLR];Harrisburg, Lincoln & Lancaster Railroad, LLC [HLLR];Class III;2025;2025;2025;Harrisburg, Lincoln & Lancaster Railroad, LLC [HLLR];HLLR;Harrisburg, Lincoln & Lancaster Railroad, LLC;HLLR;Harrisburg, Lincoln & Lancaster Railroad, LLC;Class III;;;0;1;;
Apr;2;SMT-1 - Amtrak, Commuter East;Not Assigned;Southeastern Pennsylvania Transportation Authority [SEPA];Southeastern Pennsylvania Transportation Authority [SEPA];Class III;2025;2025;2025;Southeastern Pennsylvania Transportation Authority [SEPA];SEPA;Southeastern Pennsylvania Transportation Authority;SEPA;Southeastern Pennsylvania Transportation Authority;Class III;330 203;2 121 245;28636808;1;379 740;
Apr;2;SMT-1 - Amtrak, Commuter East;Not Assigned;Maryland and Pennsylvania Railroad Preservation Society [MAPA];Maryland and Pennsylvania Railroad Preservation Society [MAPA];Class III;2025;2025;2025;Maryland and Pennsylvania Railroad Preservation Society [MAPA];MAPA;Maryland and Pennsylvania Railroad Preservation Society;MAPA;Maryland and Pennsylvania Railroad Preservation Society;Class III;;175;438;1;42;
Apr;2;SMT-1 - Amtrak, Commuter East;Not Assigned;Northern Central Railway [NCRA];Northern Central Railway [NCRA];Class III;2025;2025;2025;Northern Central Railway [NCRA];NCRA;Northern Central Railway;NCRA;Northern Central Railway;Class III;1 158;1 019;7840;1;132;
Apr;2;SMT-1 - Amtrak, Commuter East;Not Assigned;Stewartstown Railroad Company [STRT];Stewartstown Railroad Company [STRT];Class III;2025;2025;2025;Stewartstown Railroad Company [STRT];STRT;Stewartstown Railroad Company;STRT;Stewartstown Railroad Company;Class III;312;996;3990;1;76;
Apr;2;SMT-1 - Amtrak, Commuter East;Not Assigned;Virginia Railway Express [VREX];Virginia Railway Express [VREX];Class III;2025;2025;2025;Virginia Railway Express [VREX];VREX;Virginia Railway Express;VREX;Virginia Railway Express;Class III;41 422;229 422;11410467;1;36 145;193
Apr;2;SMT-1 - Amtrak, Commuter East;Not Assigned;Potomac Eagle Scenic Railroad [PESX];Potomac Eagle Scenic Railroad [PESX];Class III;2025;2025;2025;Potomac Eagle Scenic Railroad [PESX];PESX;Potomac Eagle Scenic Railroad;PESX;Potomac Eagle Scenic Railroad;Class III;199;639;27222;1;263;45
Apr;2;SMT-1 - Amtrak, Commuter East;Not Assigned;Cass Scenic [CASS];Cass Scenic [CASS];Class III;2025;2025;2025;Cass Scenic [CASS];CASS;Cass Scenic;CASS;Cass Scenic;Class III;4 452;;0;1;;
May;2;SMT-1 - Amtrak, Commuter East;Not Assigned;Western Maryland Scenic Railroad [WMSR];Western Maryland Scenic Railroad [WMSR];Class III;2025;2025;2025;Western Maryland Scenic Railroad [WMSR];WMSR;Western Maryland Scenic Railroad;WMSR;Western Maryland Scenic Railroad;Class III;969;2 697;86304;1;803;3
May;2;SMT-1 - Amtrak, Commuter East;Not Assigned;MARC Train Service [MACZ];MARC Train Service [MACZ];Class III;2025;2025;2025;MARC Train Service [MACZ];MACZ;MARC Train Service;MACZ;MARC Train Service;Class III;67 142;490 704;14819260;1;107 375;785
May;2;SMT-1 - Amtrak, Commuter East;Not Assigned;BALTIMORE & OHIO RAILROD MUSEUM [BOMX];BALTIMORE & OHIO RAILROD MUSEUM [BOMX];Class III;2025;2025;2025;BALTIMORE & OHIO RAILROD MUSEUM [BOMX];BOMX;BALTIMORE & OHIO RAILROD MUSEUM;BOMX;BALTIMORE & OHIO RAILROD MUSEUM;Class III;255;6 800;20400;1;115;10
May;2;SMT-1 - Amtrak, Commuter East;Not Assigned;WALKERSVILLE SOUTHERN RAILROAD, INC. [WS];WALKERSVILLE SOUTHERN RAILROAD, INC. [WS];Class III;2025;2025;2025;WALKERSVILLE SOUTHERN RAILROAD, INC. [WS];WS;WALKERSVILLE SOUTHERN RAILROAD, INC.;WS;WALKERSVILLE SOUTHERN RAILROAD, INC.;Class III;348;1 243;10900;1;116;4
May;2;SMT-1 - Amtrak, Commuter East;Not Assigned;Hocking Valley Scenic Railway [HVSR];Hocking Valley Scenic Railway [HVSR];Class III;2025;2025;2025;Hocking Valley Scenic Railway [HVSR];HVSR;Hocking Valley Scenic Railway;HVSR;Hocking Valley Scenic Railway;Class III;2 150;1 413;37566;1;218;
May;2;SMT-1 - Amtrak, Commuter East;Not Assigned;Cuyahoga Valley Scenic Railway [CVSX];Cuyahoga Valley Scenic Railway [CVSX];Class III;2025;2025;2025;Cuyahoga Valley Scenic Railway [CVSX];CVSX;Cuyahoga Valley Scenic Railway;CVSX;Cuyahoga Valley Scenic Railway;Class III;8 409;11 303;410384;1;1 940;36
May;2;SMT-1 - Amtrak, Commuter East;Not Assigned;Lake Shore Railway [LSRX];Lake Shore Railway [LSRX];Class III;2025;2025;2025;Lake Shore Railway [LSRX];LSRX;Lake Shore Railway;LSRX;Lake Shore Railway;Class III;;;0;1;;
May;2;SMT-1 - Amtrak, Commuter East;Not Assigned;CINCINNATI RAILWAY COMPANY [CNRX];CINCINNATI RAILWAY COMPANY [CNRX];Class III;2025;2025;2025;CINCINNATI RAILWAY COMPANY [CNRX];CNRX;CINCINNATI RAILWAY COMPANY;CNRX;CINCINNATI RAILWAY COMPANY;Class III;206;2 428;33032;1;271;4
May;2;SMT-1 - Amtrak, Commuter East;Not Assigned;Wannamakers, Kempton And Southern [WAKS];Wannamakers, Kempton And Southern [WAKS];Class III;2025;2025;2025;Wannamakers, Kempton And Southern [WAKS];WAKS;Wannamakers, Kempton And Southern;WAKS;Wannamakers, Kempton And Southern;Class III;;456;2736;1;102;6
May;2;SMT-1 - Amtrak, Commuter East;Not Assigned;STEAMTOWN NATIONAL HISTORIC SITE [SNCX];STEAMTOWN NATIONAL HISTORIC SITE [SNCX];Class III;2025;2025;2025;STEAMTOWN NATIONAL HISTORIC SITE [SNCX];SNCX;STEAMTOWN NATIONAL HISTORIC SITE;SNCX;STEAMTOWN NATIONAL HISTORIC SITE;Class III;3 360;3 339;387324;1;116;
May;2;SMT-1 - Amtrak, Commuter East;Not Assigned;Harrisburg, Lincoln & Lancaster Railroad, LLC [HLLR];Harrisburg, Lincoln & Lancaster Railroad, LLC [HLLR];Class III;2025;2025;2025;Harrisburg, Lincoln & Lancaster Railroad, LLC [HLLR];HLLR;Harrisburg, Lincoln & Lancaster Railroad, LLC;HLLR;Harrisburg, Lincoln & Lancaster Railroad, LLC;Class III;;;0;1;;
May;2;SMT-1 - Amtrak, Commuter East;Not Assigned;Southeastern Pennsylvania Transportation Authority [SEPA];Southeastern Pennsylvania Transportation Authority [SEPA];Class III;2025;2025;2025;Southeastern Pennsylvania Transportation Authority [SEPA];SEPA;Southeastern Pennsylvania Transportation Authority;SEPA;Southeastern Pennsylvania Transportation Authority;Class III;320 468;2 044 681;27603194;1;388 376;
May;2;SMT-1 - Amtrak, Commuter East;Not Assigned;Maryland and Pennsylvania Railroad Preservation Society [MAPA];Maryland and Pennsylvania Railroad Preservation Society [MAPA];Class III;2025;2025;2025;Maryland and Pennsylvania Railroad Preservation Society [MAPA];MAPA;Maryland and Pennsylvania Railroad Preservation Society;MAPA;Maryland and Pennsylvania Railroad Preservation Society;Class III;;65;190;1;65;
May;2;SMT-1 - Amtrak, Commuter East;Not Assigned;Northern Central Railway [NCRA];Northern Central Railway [NCRA];Class III;2025;2025;2025;Northern Central Railway [NCRA];NCRA;Northern Central Railway;NCRA;Northern Central Railway;Class III;1 281;860;7260;1;207;
May;2;SMT-1 - Amtrak, Commuter East;Not Assigned;Stewartstown Railroad Company [STRT];Stewartstown Railroad Company [STRT];Class III;2025;2025;2025;Stewartstown Railroad Company [STRT];STRT;Stewartstown Railroad Company;STRT;Stewartstown Railroad Company;Class III;47;280;1176;1;17;
May;2;SMT-1 - Amtrak, Commuter East;Not Assigned;Virginia Railway Express [VREX];Virginia Railway Express [VREX];Class III;2025;2025;2025;Virginia Railway Express [VREX];VREX;Virginia Railway Express;VREX;Virginia Railway Express;Class III;38 568;210 493;10452169;1;33 541;185
May;2;SMT-1 - Amtrak, Commuter East;Not Assigned;Potomac Eagle Scenic Railroad [PESX];Potomac Eagle Scenic Railroad [PESX];Class III;2025;2025;2025;Potomac Eagle Scenic Railroad [PESX];PESX;Potomac Eagle Scenic Railroad;PESX;Potomac Eagle Scenic Railroad;Class III;374;1 923;81468;1;636;36
May;2;SMT-1 - Amtrak, Commuter East;Not Assigned;Cass Scenic [CASS];Cass Scenic [CASS];Class III;2025;2025;2025;Cass Scenic [CASS];CASS;Cass Scenic;CASS;Cass Scenic;Class III;6 890;2 071;41494;1;506;
Jun;2;SMT-1 - Amtrak, Commuter East;Not Assigned;Western Maryland Scenic Railroad [WMSR];Western Maryland Scenic Railroad [WMSR];Class III;2025;2025;2025;Western Maryland Scenic Railroad [WMSR];WMSR;Western Maryland Scenic Railroad;WMSR;Western Maryland Scenic Railroad;Class III;926;4 104;103580;1;919;3
Jun;2;SMT-1 - Amtrak, Commuter East;Not Assigned;MARC Train Service [MACZ];MARC Train Service [MACZ];Class III;2025;2025;2025;MARC Train Service [MACZ];MACZ;MARC Train Service;MACZ;MARC Train Service;Class III;67 024;457 993;13845128;1;105 947;843
Jun;2;SMT-1 - Amtrak, Commuter East;Not Assigned;BALTIMORE & OHIO RAILROD MUSEUM [BOMX];BALTIMORE & OHIO RAILROD MUSEUM [BOMX];Class III;2025;2025;2025;BALTIMORE & OHIO RAILROD MUSEUM [BOMX];BOMX;BALTIMORE & OHIO RAILROD MUSEUM;BOMX;BALTIMORE & OHIO RAILROD MUSEUM;Class III;465;5 500;16500;1;95;5
