Month;FRA District;FRA Safety Management Team;Holding Company;Parent Railroad;Railroad;Railroad Class;Year;Calendar Year;Fiscal Year;Railroad Concat;Railroadcode;Railroadname;Reporting Parent Railroad Code;Reporting Parent Railroad Name;reporting_railroad_class;Employee Hours Worked;Number of Passengers Transported;Passenger Miles;Reports;Total Train Miles;Yard Switching Miles
Feb;1;SMT-1 - Amtrak, Commuter East;Not Assigned;BERKSHIRE SCENIC RAILWAY MUSEUM, INC. [BCRY];BERKSHIRE SCENIC RAILWAY MUSEUM, INC. [BCRY];Class III;2025;2025;2025;BERKSHIRE SCENIC RAILWAY MUSEUM, INC. [BCRY];BCRY;BERKSHIRE SCENIC RAILWAY MUSEUM, INC.;BCRY;BERKSHIRE SCENIC RAILWAY MUSEUM, INC.;Class III;;;0;1;;
Feb;1;SMT-1 - Amtrak, Commuter East;Not Assigned;Scenic RailRiders, Inc. [SRRI];Scenic RailRiders, Inc. [SRRI];Class III;2025;2025;2025;Scenic RailRiders, Inc. [SRRI];SRRI;Scenic RailRiders, Inc.;SRRI;Scenic RailRiders, Inc.;Class III;;;0;1;;
Feb;1;SMT-1 - Amtrak, Commuter East;Not Assigned;Massachusetts Bay Transportation Authority [MBTA];Massachusetts Bay Transportation Authority [MBTA];Class III;2025;2025;2025;Massachusetts Bay Transportation Authority [MBTA];MBTA;Massachusetts Bay Transportation Authority;MBTA;Massachusetts Bay Transportation Authority;Class III;451 917;2 154 972;73500614;1;359 920;
Feb;1;SMT-1 - Amtrak, Commuter East;Not Assigned;Conway Scenic Railroad [CONW];Conway Scenic Railroad [CONW];Class III;2025;2025;2025;Conway Scenic Railroad [CONW];CONW;Conway Scenic Railroad;CONW;Conway Scenic Railroad;Class III;5 269;5 456;87151;1;1 222;87
Feb;1;SMT-1 - Amtrak, Commuter East;Not Assigned;Southern New Jersey Light Rail Group [SNJX];Southern New Jersey Light Rail Group [SNJX];Class III;2025;2025;2025;Southern New Jersey Light Rail Group [SNJX];SNJX;Southern New Jersey Light Rail Group;SNJX;Southern New Jersey Light Rail Group;Class III;14 779;107 297;1636789;1;60 959;
Feb;1;SMT-1 - Amtrak, Commuter East;Not Assigned;New Jersey Transit Rail Operations [NJTR];New Jersey Transit Rail Operations [NJTR];Class III;2025;2025;2025;New Jersey Transit Rail Operations [NJTR];NJTR;New Jersey Transit Rail Operations;NJTR;New Jersey Transit Rail Operations;Class III;877 202;4 293 112;164606140;1;813 280;26 496
Feb;1;SMT-1 - Amtrak, Commuter East;Not Assigned;Port Authority Trans Hudson [PATH];Port Authority Trans Hudson [PATH];Class III;2025;2025;2025;Port Authority Trans Hudson [PATH];PATH;Port Authority Trans Hudson;PATH;Port Authority Trans Hudson;Class III;202 296;4 258 111;21174559;1;133 607;17 427
Feb;1;SMT-1 - Amtrak, Commuter East;Not Assigned;Richfield Springs Scenic Railway [UCSV];Richfield Springs Scenic Railway [UCSV];Class III;2025;2025;2025;Richfield Springs Scenic Railway [UCSV];UCSV;Richfield Springs Scenic Railway;UCSV;Richfield Springs Scenic Railway;Class III;;;0;1;;
Feb;1;SMT-1 - Amtrak, Commuter East;Not Assigned;Metro North Commuter Railroad Company [MNCW];Metro North Commuter Railroad Company [MNCW];Class III;2025;2025;2025;Metro North Commuter Railroad Company [MNCW];MNCW;Metro North Commuter Railroad Company;MNCW;Metro North Commuter Railroad Company;Class III;1 097 595;4 731 910;133410023;1;792 289;
Feb;1;SMT-1 - Amtrak, Commuter East;Not Assigned;Long Island Rail Road [LI];Long Island Rail Road [LI];Class III;2025;2025;2025;Long Island Rail Road [LI];LI;Long Island Rail Road;LI;Long Island Rail Road;Class III;1 226 265;5 558 816;147934681;1;783 889;
Feb;1;SMT-1 - Amtrak, Commuter East;Not Assigned;Saratoga Corinth & Hudson Railway [SCH];Saratoga Corinth & Hudson Railway [SCH];Class III;2025;2025;2025;Saratoga Corinth & Hudson Railway [SCH];SCH;Saratoga Corinth & Hudson Railway;SCH;Saratoga Corinth & Hudson Railway;Class III;78;326;14344;1;198;6
Feb;1;SMT-1 - Amtrak, Commuter East;Not Assigned;Catskill Mountain Railroad [CMRR];Catskill Mountain Railroad [CMRR];Class III;2025;2025;2025;Catskill Mountain Railroad [CMRR];CMRR;Catskill Mountain Railroad;CMRR;Catskill Mountain Railroad;Class III;;;0;1;;
Feb;1;SMT-1 - Amtrak, Commuter East;Vermont Rail Systems;Green Mountain Railroad Corporation [GMRC];Green Mountain Railroad Corporation [GMRC];Class III;2025;2025;2025;Green Mountain Railroad Corporation [GMRC];GMRC;Green Mountain Railroad Corporation;GMRC;Green Mountain Railroad Corporation;Class III;3 169;;0;1;2 668;1 380
Sep;1;SMT-2 - Short Line East;Avon and Lakeville Railroad Co;B&H Rail Corp [BHX];B&H Rail Corp [BHX];Class III;2025;2025;2025;B&H Rail Corp [BHX];BHX;B&H Rail Corp;BHX;B&H Rail Corp;Class III;585;;0;1;811;291
Sep;1;SMT-2 - Short Line East;Avon and Lakeville Railroad Co;Livonia, Avon & Lakeville Railroad Corporation [LAL];Livonia, Avon & Lakeville Railroad Corporation [LAL];Class III;2025;2025;2025;Livonia, Avon & Lakeville Railroad Corporation [LAL];LAL;Livonia, Avon & Lakeville Railroad Corporation;LAL;Livonia, Avon & Lakeville Railroad Corporation;Class III;3 389;;0;1;1 262;274
Sep;1;SMT-2 - Short Line East;Avon and Lakeville Railroad Co;Western New York & Pennsylvania Railroad LLC [WNYP];Western New York & Pennsylvania Railroad LLC [WNYP];Class III;2025;2025;2025;Western New York & Pennsylvania Railroad LLC [WNYP];WNYP;Western New York & Pennsylvania Railroad LLC;WNYP;Western New York & Pennsylvania Railroad LLC;Class III;3 785;;0;1;4 752;1 005
Sep;1;SMT-2 - Short Line East;Chesapeake & Delaware Railroads;Dover and Rockaway River Railroad [DRRV];Dover and Rockaway River Railroad [DRRV];Class III;2025;2025;2025;Dover and Rockaway River Railroad [DRRV];DRRV;Dover and Rockaway River Railroad;DRRV;Dover and Rockaway River Railroad;Class III;177;;0;1;86;9
Sep;1;SMT-2 - Short Line East;Chesapeake & Delaware Railroads;Dover and Delware River Railroad, LLC [DD];Dover and Delware River Railroad, LLC [DD];Class III;2025;2025;2025;Dover and Delware River Railroad, LLC [DD];DD;Dover and Delware River Railroad, LLC;DD;Dover and Delware River Railroad, LLC;Class III;306;;0;1;300;30
Sep;1;SMT-2 - Short Line East;NBM Railways;Maine Northern Railway Company [MNR];Maine Northern Railway Company [MNR];Class III;2025;2025;2025;Maine Northern Railway Company [MNR];MNR;Maine Northern Railway Company;MNR;Maine Northern Railway Company;Class III;6 452;;0;1;9 735;
Sep;1;SMT-2 - Short Line East;NBM Railways;EASTERN MAINE RAILROAD COMPANY [EMRY];EASTERN MAINE RAILROAD COMPANY [EMRY];Class III;2025;2025;2025;EASTERN MAINE RAILROAD COMPANY [EMRY];EMRY;EASTERN MAINE RAILROAD COMPANY;EMRY;EASTERN MAINE RAILROAD COMPANY;Class III;5 046;;0;1;8 821;
Sep;1;SMT-2 - Short Line East;Not Assigned;CUMBERLAND & KNOX RAILROAD LLC [CKRR];CUMBERLAND & KNOX RAILROAD LLC [CKRR];Class III;2025;2025;2025;CUMBERLAND & KNOX RAILROAD LLC [CKRR];CKRR;CUMBERLAND & KNOX RAILROAD LLC;CKRR;CUMBERLAND & KNOX RAILROAD LLC;Class III;24;;0;1;112;
Sep;1;SMT-2 - Short Line East;Not Assigned;MASSACHUSETTS COASTAL RAILROAD, LLC [MCRL];MASSACHUSETTS COASTAL RAILROAD, LLC [MCRL];Class III;2025;2025;2025;MASSACHUSETTS COASTAL RAILROAD, LLC [MCRL];MCRL;MASSACHUSETTS COASTAL RAILROAD, LLC;MCRL;MASSACHUSETTS COASTAL RAILROAD, LLC;Class III;11 878;5 832;287780;1;4 542;480
Sep;1;SMT-2 - Short Line East;Not Assigned;MASSACHUSETTS CENTRAL RAILROAD CORPORATION [MCER];MASSACHUSETTS CENTRAL RAILROAD CORPORATION [MCER];Class III;2025;2025;2025;MASSACHUSETTS CENTRAL RAILROAD CORPORATION [MCER];MCER;MASSACHUSETTS CENTRAL RAILROAD CORPORATION;MCER;MASSACHUSETTS CENTRAL RAILROAD CORPORATION;Class III;1 841;;0;1;825;
Sep;1;SMT-2 - Short Line East;Not Assigned;Fore River Transportation Corporation [FRVT];Fore River Transportation Corporation [FRVT];Class III;2025;2025;2025;Fore River Transportation Corporation [FRVT];FRVT;Fore River Transportation Corporation;FRVT;Fore River Transportation Corporation;Class III;966;;0;1;544;417
Sep;1;SMT-2 - Short Line East;Not Assigned;East Brookfield & Spencer Railroad LLC [EBSR];East Brookfield & Spencer Railroad LLC [EBSR];Class III;2025;2025;2025;East Brookfield & Spencer Railroad LLC [EBSR];EBSR;East Brookfield & Spencer Railroad LLC;EBSR;East Brookfield & Spencer Railroad LLC;Class III;2 732;;0;1;683;683
Sep;1;SMT-2 - Short Line East;Not Assigned;GRAFTON & UPTON RAILROAD COMPANY [GU];GRAFTON & UPTON RAILROAD COMPANY [GU];Class III;2025;2025;2025;GRAFTON & UPTON RAILROAD COMPANY [GU];GU;GRAFTON & UPTON RAILROAD COMPANY;GU;GRAFTON & UPTON RAILROAD COMPANY;Class III;509;;0;1;755;143
Sep;1;SMT-2 - Short Line East;Not Assigned;New Hampshire North Coast Railroad [NHN];New Hampshire North Coast Railroad [NHN];Class III;2025;2025;2025;New Hampshire North Coast Railroad [NHN];NHN;New Hampshire North Coast Railroad;NHN;New Hampshire North Coast Railroad;Class III;387;;0;1;932;
Sep;1;SMT-2 - Short Line East;Not Assigned;Milford-Bennington Railroad Company [MBRX];Milford-Bennington Railroad Company [MBRX];Class III;2025;2025;2025;Milford-Bennington Railroad Company [MBRX];MBRX;Milford-Bennington Railroad Company;MBRX;Milford-Bennington Railroad Company;Class III;156;;0;1;170;
Sep;1;SMT-2 - Short Line East;Not Assigned;Consolidated Rail Corporation [CRSH];Consolidated Rail Corporation [CRSH];Class III;2025;2025;2025;Consolidated Rail Corporation [CRSH];CRSH;Consolidated Rail Corporation;CRSH;Consolidated Rail Corporation;Class III;156 721;;0;1;234 140;130 954
Sep;1;SMT-2 - Short Line East;Not Assigned;Hainesport Secondary, LLC [HSR];Hainesport Secondary, LLC [HSR];Class III;2025;2025;2025;Hainesport Secondary, LLC [HSR];HSR;Hainesport Secondary, LLC;HSR;Hainesport Secondary, LLC;Class III;336;;0;1;3;1
Sep;1;SMT-2 - Short Line East;Not Assigned;Cape May Seashore Lines, Inc. [CMSX];Cape May Seashore Lines, Inc. [CMSX];Class III;2025;2025;2025;Cape May Seashore Lines, Inc. [CMSX];CMSX;Cape May Seashore Lines, Inc.;CMSX;Cape May Seashore Lines, Inc.;Class III;98;;0;1;237;29
Sep;1;SMT-2 - Short Line East;Not Assigned;SMS Rail Lines of New York, LLC [SNY];SMS Rail Lines of New York, LLC [SNY];Class III;2025;2025;2025;SMS Rail Lines of New York, LLC [SNY];SNY;SMS Rail Lines of New York, LLC;SNY;SMS Rail Lines of New York, LLC;Class III;1 302;;0;1;336;156
Sep;1;SMT-2 - Short Line East;Not Assigned;SMS Rail Service, Inc. [SLRS];SMS Rail Service, Inc. [SLRS];Class III;2025;2025;2025;SMS Rail Service, Inc. [SLRS];SLRS;SMS Rail Service, Inc.;SLRS;SMS Rail Service, Inc.;Class III;11 843;1 038;16973;1;1 121;558
Sep;1;SMT-2 - Short Line East;Not Assigned;East Jersey Railroad & Terminal Company [EJR];East Jersey Railroad & Terminal Company [EJR];Class III;2025;2025;2025;East Jersey Railroad & Terminal Company [EJR];EJR;East Jersey Railroad & Terminal Company;EJR;East Jersey Railroad & Terminal Company;Class III;2 161;;0;1;196;196
Sep;1;SMT-2 - Short Line East;Not Assigned;New York New Jersey Rail LLC [NYNJ];New York New Jersey Rail LLC [NYNJ];Class III;2025;2025;2025;New York New Jersey Rail LLC [NYNJ];NYNJ;New York New Jersey Rail LLC;NYNJ;New York New Jersey Rail LLC;Class III;1 792;;0;1;1 458;1 458
Sep;1;SMT-2 - Short Line East;Not Assigned;Raritan Central Railway LLC [RCRY];Raritan Central Railway LLC [RCRY];Class III;2025;2025;2025;Raritan Central Railway LLC [RCRY];RCRY;Raritan Central Railway LLC;RCRY;Raritan Central Railway LLC;Class III;1 752;;0;1;708;708
Sep;1;SMT-2 - Short Line East;Not Assigned;MORRISTOWN & ERIE RAILWAY, INC. [ME];MORRISTOWN & ERIE RAILWAY, INC. [ME];Class III;2025;2025;2025;MORRISTOWN & ERIE RAILWAY, INC. [ME];ME;MORRISTOWN & ERIE RAILWAY, INC.;ME;MORRISTOWN & ERIE RAILWAY, INC.;Class III;2 662;249;1992;1;611;
Sep;1;SMT-2 - Short Line East;Not Assigned;Albany Port Railroad [APRR];Albany Port Railroad [APRR];Class III;2025;2025;2025;Albany Port Railroad [APRR];APRR;Albany Port Railroad;APRR;Albany Port Railroad;Class III;659;;0;1;234;234
Sep;1;SMT-2 - Short Line East;Not Assigned;New York & Lake Erie [NYLE];New York & Lake Erie [NYLE];Class III;2025;2025;2025;New York & Lake Erie [NYLE];NYLE;New York & Lake Erie;NYLE;New York & Lake Erie;Class III;373;182;9464;1;182;
Sep;1;SMT-2 - Short Line East;Not Assigned;Oil Creek & Titusville Lines [OCTL];Oil Creek & Titusville Lines [OCTL];Class III;2025;2025;2025;Oil Creek & Titusville Lines [OCTL];OCTL;Oil Creek & Titusville Lines;OCTL;Oil Creek & Titusville Lines;Class III;765;2 564;71792;1;560;
Sep;1;SMT-2 - Short Line East;Not Assigned;BUFFALO SOUTHERN RAILROAD, INC. [BSOR];BUFFALO SOUTHERN RAILROAD, INC. [BSOR];Class III;2025;2025;2025;BUFFALO SOUTHERN RAILROAD, INC. [BSOR];BSOR;BUFFALO SOUTHERN RAILROAD, INC.;BSOR;BUFFALO SOUTHERN RAILROAD, INC.;Class III;993;195;6972;1;337;
Sep;1;SMT-2 - Short Line East;Not Assigned;Ontario Midland Railroad Corporation [OMID];Ontario Midland Railroad Corporation [OMID];Class III;2025;2025;2025;Ontario Midland Railroad Corporation [OMID];OMID;Ontario Midland Railroad Corporation;OMID;Ontario Midland Railroad Corporation;Class III;313;;0;1;343;25
Sep;1;SMT-2 - Short Line East;Not Assigned;Somerset Railroad Company [SOM];Somerset Railroad Company [SOM];Class III;2025;2025;2025;Somerset Railroad Company [SOM];SOM;Somerset Railroad Company;SOM;Somerset Railroad Company;Class III;;;0;1;;
