"","Commodity Group","Commodity Group Code","Originated","Received","Year","Week","Company"
"83","Pulp & Paper Products","Q",679,741,2026,2026-02-04,"UP"
"84","Stone, Clay, Glass","R",2013,469,2026,2026-02-04,"UP"
"85","Waste & Other Scrap","S",474,240,2026,2026-02-04,"UP"
"86","All Other","T",2627,959,2026,2026-02-04,"UP"
"87","Containers","U",56971,8463,2026,2026-02-04,"UP"
"88","Trailers","V",1492,10,2026,2026-02-04,"UP"
"89","Chemicals","A",18580,2786,2026,2026-01-28,"UP"
"90","Coal","B",16596,142,2026,2026-01-28,"UP"
"91","Coke","C",493,51,2026,2026-01-28,"UP"
"92","Crushed Stone, Sand & Gravel","D",7555,80,2026,2026-01-28,"UP"
"93","Farm Products","E",209,102,2026,2026-01-28,"UP"
"94","Food & Kindred Products","F",2473,1776,2026,2026-01-28,"UP"
"95","Grain Mill Products","G",3796,357,2026,2026-01-28,"UP"
"96","Grain","H",7738,1232,2026,2026-01-28,"UP"
"97","Iron & Steel Scrap","I",935,91,2026,2026-01-28,"UP"
"98","Lumber & Wood Products","J",1167,578,2026,2026-01-28,"UP"
"99","Metallic Ores","K",270,116,2026,2026-01-28,"UP"
"100","Metal Products","L",1322,1283,2026,2026-01-28,"UP"
"101","Motor Vehicles & Equipment","M",1927,4091,2026,2026-01-28,"UP"
"102","Nonmetallic Minerals","N",386,216,2026,2026-01-28,"UP"
"103","Petroleum Products","O",3773,1244,2026,2026-01-28,"UP"
"104","Primary Forest Products","P",222,182,2026,2026-01-28,"UP"
"105","Pulp & Paper Products","Q",812,929,2026,2026-01-28,"UP"
"106","Stone, Clay, Glass","R",2374,530,2026,2026-01-28,"UP"
"107","Waste & Other Scrap","S",507,274,2026,2026-01-28,"UP"
"108","All Other","T",3073,1054,2026,2026-01-28,"UP"
"109","Containers","U",59023,8772,2026,2026-01-28,"UP"
"110","Trailers","V",1178,11,2026,2026-01-28,"UP"
"111","Chemicals","A",17924,3435,2026,2026-01-21,"UP"
"112","Coal","B",14321,144,2026,2026-01-21,"UP"
"113","Coke","C",975,79,2026,2026-01-21,"UP"
"114","Crushed Stone, Sand & Gravel","D",7296,94,2026,2026-01-21,"UP"
"115","Farm Products","E",269,83,2026,2026-01-21,"UP"
"116","Food & Kindred Products","F",2506,1930,2026,2026-01-21,"UP"
"117","Grain Mill Products","G",3928,273,2026,2026-01-21,"UP"
"118","Grain","H",7123,2153,2026,2026-01-21,"UP"
"119","Iron & Steel Scrap","I",1056,118,2026,2026-01-21,"UP"
"120","Lumber & Wood Products","J",1222,489,2026,2026-01-21,"UP"
"121","Metallic Ores","K",169,55,2026,2026-01-21,"UP"
"122","Metal Products","L",1248,1185,2026,2026-01-21,"UP"
"123","Motor Vehicles & Equipment","M",2497,4401,2026,2026-01-21,"UP"
"124","Nonmetallic Minerals","N",489,198,2026,2026-01-21,"UP"
"125","Petroleum Products","O",3670,1532,2026,2026-01-21,"UP"
"126","Primary Forest Products","P",245,3,2026,2026-01-21,"UP"
"127","Pulp & Paper Products","Q",893,989,2026,2026-01-21,"UP"
"128","Stone, Clay, Glass","R",2357,522,2026,2026-01-21,"UP"
"129","Waste & Other Scrap","S",499,220,2026,2026-01-21,"UP"
"130","All Other","T",2956,683,2026,2026-01-21,"UP"
"131","Containers","U",62172,9646,2026,2026-01-21,"UP"
"132","Trailers","V",1275,16,2026,2026-01-21,"UP"
"133","Chemicals","A",17999,3029,2026,2026-01-14,"UP"
"134","Coal","B",17235,144,2026,2026-01-14,"UP"
"135","Coke","C",788,98,2026,2026-01-14,"UP"
"136","Crushed Stone, Sand & Gravel","D",7912,70,2026,2026-01-14,"UP"
"137","Farm Products","E",301,98,2026,2026-01-14,"UP"
"138","Food & Kindred Products","F",2583,1717,2026,2026-01-14,"UP"
"139","Grain Mill Products","G",4038,312,2026,2026-01-14,"UP"
"140","Grain","H",7646,1989,2026,2026-01-14,"UP"
"141","Iron & Steel Scrap","I",919,102,2026,2026-01-14,"UP"
"142","Lumber & Wood Products","J",1130,405,2026,2026-01-14,"UP"
"143","Metallic Ores","K",209,58,2026,2026-01-14,"UP"
"144","Metal Products","L",1165,1231,2026,2026-01-14,"UP"
"145","Motor Vehicles & Equipment","M",2140,2216,2026,2026-01-14,"UP"
"146","Nonmetallic Minerals","N",464,205,2026,2026-01-14,"UP"
"147","Petroleum Products","O",3886,1673,2026,2026-01-14,"UP"
"148","Primary Forest Products","P",139,231,2026,2026-01-14,"UP"
"149","Pulp & Paper Products","Q",928,1097,2026,2026-01-14,"UP"
"150","Stone, Clay, Glass","R",2631,608,2026,2026-01-14,"UP"
"151","Waste & Other Scrap","S",539,153,2026,2026-01-14,"UP"
"152","All Other","T",2424,357,2026,2026-01-14,"UP"
"153","Containers","U",61524,8150,2026,2026-01-14,"UP"
"154","Trailers","V",1358,14,2026,2026-01-14,"UP"
"155","Chemicals","A",17853,3170,2026,2026-01-07,"UP"
"156","Coal","B",15904,139,2026,2026-01-07,"UP"
"157","Coke","C",894,78,2026,2026-01-07,"UP"
"158","Crushed Stone, Sand & Gravel","D",5888,114,2026,2026-01-07,"UP"
"159","Farm Products","E",207,100,2026,2026-01-07,"UP"
"160","Food & Kindred Products","F",2063,1301,2026,2026-01-07,"UP"
"161","Grain Mill Products","G",3690,467,2026,2026-01-07,"UP"
"162","Grain","H",5742,1628,2026,2026-01-07,"UP"
"163","Iron & Steel Scrap","I",541,144,2026,2026-01-07,"UP"
"164","Lumber & Wood Products","J",867,454,2026,2026-01-07,"UP"
"165","Metallic Ores","K",193,60,2026,2026-01-07,"UP"
"166","Metal Products","L",1248,1361,2026,2026-01-07,"UP"
"167","Motor Vehicles & Equipment","M",1133,3333,2026,2026-01-07,"UP"
"168","Nonmetallic Minerals","N",385,258,2026,2026-01-07,"UP"
"169","Petroleum Products","O",3397,1643,2026,2026-01-07,"UP"
"170","Primary Forest Products","P",130,99,2026,2026-01-07,"UP"
"171","Pulp & Paper Products","Q",989,1234,2026,2026-01-07,"UP"
"172","Stone, Clay, Glass","R",1829,476,2026,2026-01-07,"UP"
"173","Waste & Other Scrap","S",404,147,2026,2026-01-07,"UP"
"174","All Other","T",1739,600,2026,2026-01-07,"UP"
"175","Containers","U",43566,6035,2026,2026-01-07,"UP"
"176","Trailers","V",817,4,2026,2026-01-07,"UP"
"177","Chemicals","A",16320,2820,2025,2025-12-31,"UP"
"178","Coal","B",18467,138,2025,2025-12-31,"UP"
"179","Coke","C",740,77,2025,2025-12-31,"UP"
"180","Crushed Stone, Sand & Gravel","D",5564,49,2025,2025-12-31,"UP"
"181","Farm Products","E",123,58,2025,2025-12-31,"UP"
"182","Food & Kindred Products","F",1824,1415,2025,2025-12-31,"UP"
"183","Grain Mill Products","G",3619,227,2025,2025-12-31,"UP"
"184","Grain","H",5995,1567,2025,2025-12-31,"UP"
